"uc_ea","uc","num_ea","bioma","regiao","expedicao","ano","tribo","soma_individuos"
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Biblidini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Brassolini",13
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Callicorini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Coeini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Epicaliini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Epiphilini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Haeterini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Melanitini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Morphini",7
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Preponini",3
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Satyrini",25
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Ageroniini",3
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Anaeini",8
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Biblidini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Brassolini",5
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Callicorini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Coeini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_2","2018","Epicaliini",1
