uc_ea;uc;num_ea;bioma;regiao;expedicao;ano;tribo;soma_individuos;max_dia_amostragem;esforco_amostral;esforco_total_anual
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Biblidini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Brassolini;9;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Callicorini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Coeini;3;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Epicaliini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Epiphilini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Haeterini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Melanitini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Morphini;30;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Preponini;6;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Satyrini;49;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Ageroniini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Anaeini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Biblidini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Brassolini;17;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Callicorini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Coeini;9;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Epicaliini;1;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Epiphilini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Haeterini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Melanitini;1;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Morphini;18;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_2;2022;Preponini;7;6;96;576
