Nº;UC;Bioma;UF;ARPA;Alvo;2014;2015;2016;2017;2018;2019;2020;2021;2022;EA por alvo;EA por UC;UA por alvo;UA por UC;Consolidada;Protocolo Avançado
;PARNA Serra da Mocidade;;;;Plan;;;1;;;;;1*;;1;;1;;;x
35;REBIO de Una;Matl;BA;;MaAv;;;;;;;;;1;1;1;1;5;;
;REBIO de Una;;;;Borbo;;;;;;;;;1;1;;4;;;
;REBIO de Una;;;;Plan;;;;;;;;;;;;;;;
41;REBIO do Gurupi;Amz;MA;x;MaAv;;1;1;1*;1, 2;1,2;1,2;1,2,3;1,2,3;3;3;3;17;;Team e Av
;REBIO do Gurupi;;;;Borbo;;;1;1;1, 2;1,2;1,2;1,2,3;1,2,3*;3;;12;;;x
;REBIO do Gurupi;;;;Plan;;;1;1,2*;;;;1;1,2;2;;2;;;x
36;REBIO do Jaru;Amz;RO;x;MaAv;;;1,2,3;1,2,3;1,2,3,4;1,2,3,4;4;4;1,2,3,4;4;4;4;24;x;Trilha
;REBIO do Jaru;;;;Borbo;;;1,2,3;1,2,3;1,2,3,4;1,2,3,4*;4;4;1,2,3,4;4;;16;;;
;REBIO do Jaru;;;;Plan;;;;1,2,3,4*;;;;;1,2,3,4;4;;4;;;x
37;REBIO do Rio Trombetas;Amz;PA;x;MaAv;;;;;;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;3;;
;REBIO do Rio Trombetas;;;;Borbo;;;;;;;;;;;;;;;
;REBIO do Rio Trombetas;;;;Plan;;;;;;;;;;;;;;;
38;REBIO do Tapirapé;Amz;PA;x;MaAv;;;1;1, 2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;21;x;Trilha
;REBIO do Tapirapé;;;;Borbo;;;1;1, 2;1,2,3*;1,2,3*;1,2,3;1,2,3*;1,2,3*;3;;15;;;x
;REBIO do Tapirapé;;;;Plan;;;1;1,2,3*;;;;;1,2,3;3;;3;;;x
39;REBIO do Uatumã;Amz;AM;x;MaAv;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;REBIO do Uatumã;;;;Borbo;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3*;1,2,3;1,2,3;1,2,3;3;;12;;;x
;REBIO do Uatumã;;;;Plan;1;;;1,2,3*;;;;;1,2,3;3;;3;;;x
40;REBIO Guaribas;Matl;PB;;MaAv;;;1;1;1;1;1;1;1;1;1;1;5;;Trilha
;REBIO Guaribas;;;;Borbo;;;1;1;1;1;1;1;1;1;;4;;;
;REBIO Guaribas;;;;Plan;;;;;;;;;;;;;;;
43;RESEX Arapixi;Amz;AM;x;MaAv;;;;;;1,2;1,2;1,2;1,2,3;3;3;3;17;;
;RESEX Arapixi;;;;Borbo;;;;;;1,2*;1,2;1,2;1,2,3*;3;;12;;;x
;RESEX Arapixi;;;;Plan;;;;;;1,2;;;;2;;2;;;
44;RESEX Barreiro das Antas;Amz;RO;x;MaAv;;;;1;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;RESEX Barreiro das Antas;;;;Borbo;;;;;1,2,3*;1,2,3*;1,2,3*;1*;1,2,3*;3;;12;;;x
;RESEX Barreiro das Antas;;;;Plan;;;;1;2,3;;;;;3;;3;;;
45;RESEX Chico Mendes;Amz;AC;x;MaAv;;;;;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;15;;
;RESEX Chico Mendes;;;;Borbo;;;;;1;1,2,3*;1,2,3;1,2,3;1,2,3;3;;12;;;x
;RESEX Chico Mendes;;;;Plan;;;;;;;;;;;;;;;
42;RESEX do Alto Tarauacá;Amz;AC;x;MaAv;;;;1;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;RESEX Alto Tarauacá;;;;Borbo;;;;1;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;;12;;;
;RESEX Alto Tauaracá;;;;Plan;;;;;1,2,3;;;;;3;;3;;;
46;RESEX do Cazumbá-Iracema;Amz;AC;x;MaAv;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;RESEX do Cazumbá-Iracema;;;;Borbo;;;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;;12;;;
;RESEX do Cazumbá-Iracema;;;;Plan;1,2,3;;;1,2*;;1,2,3*;;;;3;;3;;;x
47;RESEX do Lago do Capanã Grande;Amz;AM;x;MaAv;;;;;;;;1;1;1;2;1;9;;
;RESEX do Lago do Capanã Grande;;;;Borbo;;;;;;;;1;1, 2;2;;8;;;
;RESEX do Lago do Capanã Grande;;;;Plan;;;;;;;;;;;;;;;
48;RESEX do Rio Cautário;Amz;RO;x;MaAv;;;;;;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;15;;
;RESEX do Rio Cautário;;;;Borbo;;;;;;1,2,3*;1,2,3;1,2,3;1,2,3;3;;12;;;x
;RESEX do Rio Cautário;;;;Plan;;;;;;;;;;;;;;;
