UC ;Bioma ;CNUC ;UA ;Ano;Altura;Circunferência;Densidade;Cobertura;Biomassa;Área  Basal;Liocourt
REBIO do Uatumã ;Amazônia ;213 ;1 ;2017 ;15,1 ;60,1 ;550 ;0,04 ;145,1 ;20,52 ;1,1 
REBIO do Uatumã ;Amazônia ;213 ;2 ;2017 ;16,3 ;65,1 ;630 ;0,05 ;217,3 ;29,51 ;1,1 
REBIO do Uatumã ;Amazônia ;213 ;3 ;2017 ;14 ;54,7 ;680 ;0,03 ;138,8 ;20,92 ;1,1 
REBIO Gurupi ;Amazônia ;207 ;1 ;2016 ;22,4 ;67 ;562,5 ;0,05 ;205,8 ;27,05 ;1,1 
REBIO Gurupi ;Amazônia ;207 ;2 ;2017 ;13,1 ;57,9 ;527,5 ;0,04 ;135,8 ;18,61 ;1,1 
RESEX Alto Tauaracá ;Amazônia ;274 ;1 ;2018 ;11,7 ;65,4 ;490 ;0,04 ;121,8 ;20,24 ;1,5 
RESEX Alto Tauaracá ;Amazônia ;274 ;2 ;2018 ;12,8 ;69,8 ;435 ;0,05 ;168,1 ;23,67 ;1,5 
RESEX Alto Tauaracá ;Amazônia ;274 ;3 ;2018 ;10,6 ;68,2 ;455 ;0,05 ;142,5 ;21,36 ;1,5 
RESEX Arapixi ;Amazônia ;285 ;1 ;2019 ;21,9 ;67 ;557,5 ;0,05 ;192,9 ;28,68 ;1,5 
RESEX Arapixi ;Amazônia ;285 ;2 ;2019 ;18,6 ;53,6 ;605 ;0,03 ;120 ;17,93 ;1,5 
RESEX Barreiro das Antas ;Amazônia ;221 ;1 ;2017 ;10,3 ;64,3 ;507,5 ;0,06 ;232,7 ;28,5 ;1,3 
RESEX Barreiro das Antas ;Amazônia ;221 ;2 ;2018 ;11,4 ;56 ;445 ;0,03 ;97,3 ;14,98 ;1,3 
RESEX Barreiro das Antas ;Amazônia ;221 ;3 ;2018 ;10,6 ;54,1 ;460 ;0,03 ;85,3 ;12,8 ;1,3 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;1 ;2014 ;10,7 ;60,9 ;457,5 ;0,05 ;160,4 ;21,65 ;1,6 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;1 ;2017 ;14,6 ;59,8 ;417,5 ;0,04 ;114,2 ;16,69 ;1,6 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;1 ;2019 ;13,6 ;58,9 ;482,5 ;0,04 ;129,7 ;18,89 ;1,8 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;2 ;2014 ;10,7 ;72,8 ;447,5 ;0,06 ;150,5 ;25,71 ;1,6 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;2 ;2017 ;14,5 ;66,5 ;507,5 ;0,05 ;136,3 ;24,26 ;1,6 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;2 ;2019 ;14,8 ;69,3 ;502,5 ;0,05 ;154,4 ;26,44 ;1,8 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;3 ;2014 ;16,3 ;59,9 ;270 ;0,04 ;77 ;10,57 ;1,6 
RESEX do Cazumbá Iracema ;Amazônia ;232 ;3 ;2019 ;11,7 ;54,5 ;347,5 ;0,04 ;97 ;12,86 ;1,8 
RESEX Ipau Anilzinho ;Amazônia ;241 ;1 ;2019 ;19,2 ;71,8 ;380 ;0,06 ;169,3 ;21,48 ;1,6 
RESEX Ituxi ;Amazônia ;1628 ;1 ;2019 ;16,8 ;65,6 ;532,5 ;0,05 ;190,9 ;25,15 ;1,7 
RESEX Ituxi ;Amazônia ;1628 ;2 ;2019 ;16,5 ;67,3 ;596,67 ;0,05 ;167,1 ;29,2 ;1,7 
RESEX Ituxi ;Amazônia ;1628 ;3 ;2019 ;18 ;61,7 ;672,5 ;0,04 ;198,2 ;26,96 ;1,7 
RESEX Renascer  ;Amazônia ;1018 ;1 ;2018 ;15,5 ;61,4 ;525 ;0,04 ;152,9 ;21,54 ;1,5 
RESEX Renascer  ;Amazônia ;1018 ;2 ;2018 ;18,2 ;60,2 ;530 ;0,04 ;166,7 ;22 ;1,5 
RESEX Renascer  ;Amazônia ;1018 ;3 ;2018 ;16,4 ;63,6 ;480 ;0,05 ;168,5 ;21,88 ;1,5 
RESEX Rio Ouro Preto ;Amazônia ;256 ;1 ;2017 ;14,8 ;61 ;412,5 ;0,04 ;106,9 ;15,34 ;1,8 
RESEX Rio Ouro Preto ;Amazônia ;256 ;2 ;2017 ;9,3 ;62,6 ;510 ;0,04 ;169,7 ;22,69 ;1,8 
RESEX Rio Ouro Preto ;Amazônia ;256 ;3 ;2017 ;10,2 ;65,1 ;407,5 ;0,05 ;122,2 ;18,76 ;1,8 
RESEX Riozinho da Liberdade ;Amazônia ;257 ;1 ;2020 ;18,2 ;71,4 ;590 ;0,05 ;213,1 ;30,9 ;1,5 
RESEX Riozinho da Liberdade ;Amazônia ;257 ;2 ;2020 ;17,6 ;66,2 ;582,5 ;0,05 ;209,3 ;29,19 ;1,5 
RESEX Riozinho da Liberdade ;Amazônia ;257 ;3 ;2022 ;15 ;67 ;562,5 ;0,05 ;217,7 ;29,19 ;1,5 
RESEX Tapajós Arapiuns ;Amazônia ;259 ;4 ;2018 ;13,4 ;65,5 ;455 ;0,05 ;164,5 ;21,63 ;1,4 
RESEX Tapajós Arapiuns ;Amazônia ;259 ;7 ;2018 ;13,9 ;69,9 ;387,5 ;0,06 ;168,9 ;21,69 ;1,4 
RESEX Tapajós Arapiuns ;Amazônia ;259 ;8 ;2018 ;14,1 ;65,1 ;442,5 ;0,04 ;143 ;19,4 ;1,4 
RESEX Verde Para Sempre  ;Amazônia ;260 ;1 ;2022 ;13,1 ;63,1 ;497,5 ;0,05 ;198 ;25 ;1,4 
RESEX Verde Para Sempre  ;Amazônia ;260 ;2 ;2022 ;11,1 ;57,7 ;552,5 ;0,04 ;136,4 ;20,15 ;1,4 
ESEC Serra Geral do Tocantins ;Cerrado ;76 ;1 ;2015 ;3,7 ;30 ;1005 ;0,01 ;6,8 ;8,98 ;0,8 
ESEC Serra Geral do Tocantins ;Cerrado ;76 ;1 ;2018 ;3,7 ;30,3 ;780 ;0,01 ;6,1 ;7,18 ;0,8 
ESEC Serra Geral do Tocantins ;Cerrado ;76 ;2 ;2015 ;3,9 ;36,5 ;450 ;0,01 ;4,1 ;5,86 ;0,8 
ESEC Serra Geral do Tocantins ;Cerrado ;76 ;2 ;2018 ;4,2 ;31,5 ;515 ;0,01 ;4,1 ;5,13 ;0,8 
PARNA Chapada dos Veadeiros ;Cerrado ;139 ;1 ;2018 ;3,1 ;23,2 ;2290 ;0 ;6,6 ;11,29 ;1,2 
PARNA de Brasília ;Cerrado ;159 ;1 ;2014 ;3,3 ;24,8 ;2482,5 ;0,01 ;3,8 ;14,45 ;0,6 
PARNA de Brasília ;Cerrado ;159 ;1 ;2018 ;3,8 ;25,8 ;2995 ;0,01 ;3,8 ;19,52 ;0,6 
PARNA Serra da Bodoquena ;Cerrado ;143 ;1 ;2014 ;19,3 ;58,5 ;685 ;0,04 ;93,6 ;24,24 ;1,4 
PARNA Serra da Bodoquena ;Cerrado ;143 ;1 ;2019 ;15,4 ;59,1 ;672,5 ;0,04 ;77,7 ;24,49 ;1,4 
PARNA Serra da Bodoquena ;Cerrado ;143 ;2 ;2015 ;9,4 ;56,8 ;420 ;0,03 ;26,1 ;13,96 ;1,4 
PARNA Serra da Bodoquena ;Cerrado ;143 ;2 ;2019 ;10,5 ;58 ;422,5 ;0,04 ;33,3 ;15,06 ;1,4 
PARNA Serra do Cipó ;Cerrado ;148 ;1 ;2014 ;7,4 ;56,2 ;320 ;0,03 ;76,3 ;10,65 ;0,7 
PARNA Serra do Cipó ;Cerrado ;148 ;1 ;2018 ;7,1 ;57,2 ;317,5 ;0,03 ;79,2 ;10,92 ;0,7 
PARNA da Serra dos Órgãos ;Mata Atlântica ;152 ;1 ;2014 ;8,8 ;66,8 ;810 ;0,05 ;45,5 ;38,28 ;1,6 
PARNA da Serra dos Órgãos ;Mata Atlântica ;152 ;1 ;2019 ;9 ;63,4 ;866,67 ;0,04 ;43,9 ;36,49 ;1,6 
PARNA da Serra dos Órgãos ;Mata Atlântica ;152 ;2 ;2016 ;10,4 ;54,2 ;582,5 ;0,03 ;30,7 ;17,25 ;1,6 
PARNA da Serra dos Órgãos ;Mata Atlântica ;152 ;2 ;2019 ;10,4 ;55 ;552,5 ;0,03 ;28 ;16,58 ;1,6 
PARNA do Superagui  ;Mata Atlântica ;178 ;1 ;2016 ;11,3 ;60,1 ;485 ;0,04 ;28,1 ;19,09 ;1,3 
PARNA do Superagui  ;Mata Atlântica ;178 ;2 ;2017 ;10,2 ;60,6 ;860 ;0,04 ;28,2 ;31,68 ;1,3 
PARNA do Superagui  ;Mata Atlântica ;178 ;2 ;2018 ;6,9 ;52,8 ;965 ;0,03 ;15,7 ;26,63 ;1,3 
PARNA do Superagui  ;Mata Atlântica ;178 ;3 ;2019 ;8,2 ;47,8 ;805 ;0,02 ;22,7 ;17,37 ;1,3 
PARNA Serra da Bocaina ;Mata Atlântica ;142 ;1 ;2014 ;11,4 ;51,1 ;866,67 ;0,02 ;21,9 ;20,05 ;1,2 
PARNA do Jaú;Amazônia ;173;1;2014;12,7;62,6;720;0,06;;;
PARNA do Jaú;Amazônia ;173;2;2014;11,8;60,6;740;0,04;;;
PARNA do Jaú;Amazônia ;173;1;2017;14,7;61,9;575;0,05;;;
PARNA do Jaú;Amazônia ;173;2;2017;15,2;59,8;612;0,04;132,8;28,1;
PARNA do Jaú;Amazônia ;173;3;2017;15,4;62,9;676;0,05;132,8;36,5;
