ordem;familia;taxon_validado;nome_comum;categoria
Primates ;Cebidae ;Sapajus xanthosternos;macaco-de-bando, macaco-prego, macaco-prego-do-peito-amarelo ;EN
Primates ;Pitheciidae ;Cacajao calvus ;bicó, uacari-branco ;
Primates ;Pitheciidae ;Cacajao melanocephalus ;bicó, uacari ;
Primates ;Pitheciidae ;Cacajao sp. ;uacaris;
Primates ;Pitheciidae ;Callicebus bernhardi ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus brunneus ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus caligatus ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus cupreus ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus dubius ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus hoffmannsi ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus lugens ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus moloch ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus sp. ;zogue-zogue ;
Primates ;Pitheciidae ;Callicebus vieirai;guigó, sauá, zogue-zogue;DD
Primates ;Pitheciidae ;Chiropotes albinasus ;cuxiú-de-nariz-vermelho ;
Primates ;Pitheciidae ;Chiropotes chiropotes ;cuxiú;
Primates ;Pitheciidae ;Chiropotes sagulatus ;cuxiú;
Primates ;Pitheciidae ;Chiropotes satanas;cuxiú, cuxiú-preto, cuxuí, macaco-preto ;CR
Primates ;Pitheciidae ;Chiropotes utahickae;cuxiú;VU
Primates ;Pitheciidae ;Pithecia chrysocephala ;parauacu-da-cara-branca ;
Primates ;Pitheciidae ;Pithecia irrorata;macaco-cabeludo, macaco-velho, parauacú ;DD
Primates ;Pitheciidae ;Pithecia monachus ;macaco-velho, macaco-voador, parauacu, parauacu-monge ;
Primates ;Pitheciidae ;Pithecia pithecia ;parauacu-da-cara-branca ;
Primates ;Pitheciidae ;Pithecia vanzolinii ;macaco-velho, parauacu ;
Primates ;Pitheciidae ;Plecturocebus toppini ;;
Rodentia ;Caviidae ;Cavia sp. ;preás;
Rodentia ;Caviidae ;Galea spii ;preá;
Rodentia ;Caviidae ;Hydrochoerus hydrochaeris ;capivara;
Rodentia ;Cuniculidae ;Cuniculus paca ;paca;
Rodentia ;Cuniculidae ;Dinomys paca ;paca-de-rabo, pacarana ;
Rodentia ;Dasyproctidae ;Dasyprocta azarae ;azara's agouti, cutia ;
Rodentia ;Dasyproctidae ;Dasyprocta croconota ;amazon red-rumped agouti, cutia, orange agouti ;
Rodentia ;Dasyproctidae ;Dasyprocta fuliginosa ;black agouti, cutia ;
Rodentia ;Dasyproctidae ;Dasyprocta iacki ;cutia, cutia-de-garupa-laranja, red-rumped agouti ;
Rodentia ;Dasyproctidae ;Dasyprocta leporina ;;
Rodentia ;Dasyproctidae ;Dasyprocta prymnolopha ;black-rumped agouti, cutia ;
Rodentia ;Dasyproctidae ;Dasyprocta sp. ;cutias;
Rodentia ;Dasyproctidae ;Myoprocta acouchy ;cotiara, cutiara ;
Rodentia ;Dasyproctidae ;Myoprocta pratti ;cotiara, cutiara, green acouchi ;
Rodentia ;Dasyproctidae ;Myoprocta sp. ;cutiaras;
Rodentia ;Erethizontidae ;Coendou bicolor ;bicolor-spined porcupine, ouriço-cacheiro ;
Rodentia ;Erethizontidae ;Coendou prehensilis ;;
Rodentia ;Erethizontidae ;Coendou sp. ;ouriços;
Rodentia ;Sciuridae ;Guerlinguetus aestuans ;caxinguelê, esquilo, guianan squirrel, quatipuru ;
Rodentia ;Sciuridae ;Guerlinguetus gilvigularis ;;
Rodentia ;Sciuridae ;Guerlinguetus ignitus ;esquilo ;
